#{"t_start": 1655567044.271737, "env_id": "CTsim-v0"}
r,l,t
1034786.614232,200,86808.63936
1242839.338932,200,87157.736441
1228755.330329,200,87512.101312
1190475.207497,200,87880.934275
1237323.695917,200,88240.123922
1302176.101371,200,88587.199279
1250076.12426,200,88938.721822
1212002.687374,200,89544.440946
1363214.892134,200,89911.725797
1303132.831788,200,90260.676197
1178009.965177,200,90610.458248
1413206.271413,200,90954.330101
1361071.645372,200,91305.853597
1198505.918701,200,91651.60562
709007.683632,200,92012.649155
1317840.876177,200,92362.207215
1248659.063109,200,92715.622671
1088820.322746,200,93060.175313
1202799.985901,200,93409.185877
1408722.036489,200,93779.681118
1138717.949565,200,94124.73246
1229067.33393,200,94469.836107
1124092.006196,200,94817.145946
1341820.674264,200,95169.126533
1266419.748362,200,95535.715862
1197063.21516,200,95888.472938
1322189.410783,200,96240.739535
265850.633717,200,96594.176911
72853.044824,64,96706.913653
1376851.923318,200,97057.586877
1290847.879906,200,97424.018789
1098270.593964,200,97775.297602
1233678.04093,200,98128.291127
1242467.368547,200,98479.685559
1312397.469045,200,98834.465909
1133288.558061,200,99198.939967
1189882.862796,200,99551.352551
903621.1603,200,99906.444314
1310736.356825,200,100258.382794
1170153.554585,200,100610.447154
1191312.496501,200,100973.682026
23954.820591,67,101091.184419
1245142.014408,200,101442.332604
1137694.009459,200,101789.42625
1144363.036054,200,102140.908808
1216066.981824,200,102489.778538
1282213.029696,200,102853.812787
1410346.047582,200,103206.654887
1325226.19786,200,103559.56683
1375274.649381,200,103917.08479
1211181.846797,200,104269.886765
1147379.375633,200,104635.798215
1335608.02459,200,104986.122433
862414.215798,200,105334.491027
1093974.983661,200,105680.605569
1223271.69092,200,106030.695662
1234769.993361,200,106396.725374
1324064.058799,200,106747.469582
1225964.010384,200,107098.785837
1266407.842724,200,107572.237887
1200218.878463,200,107922.603603
1157611.370384,200,108270.956666
1378453.589351,200,108636.68347
783609.741479,200,108985.635068
90706.440805,82,109127.429073
943368.441777,200,109474.161644
680672.668925,200,109819.546087
1143192.878544,200,110185.340947
1151523.561022,200,110532.399289
1102095.890501,200,110877.967577
331172.122888,176,111186.405415
12333.37128,47,111271.686269
781710.715652,200,111628.343773
1332399.879897,200,111995.402652
1213096.079673,200,112344.705148
1252478.084491,200,112692.17251
1362892.772178,200,113044.04029
917990.538322,200,113393.604955
